i,A,B
1,0.30242,0.255933
2,0.349653,0.273086
3,0.497071,0.290281
4,0.5852,0.375374
5,0.612046,0.445761
6,0.710607,0.48634
7,0.777621,0.516181
8,0.798953,0.525196
9,0.880262,0.534652
10,0.937795,0.551437
11,1.0287,0.586914
12,1.08088,0.610782
13,1.09795,0.665947
14,1.16482,0.688826
15,1.21372,0.703274
